职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
Golang开发工程师-SH(J10035),https://www.lagou.com/jobs/6439251.html,浦东新区,20k-30k,德比软件（上海）有限公司,5-10年,本科,弹性工作制；午餐补助；,4、参与系统架构设计（日亿级别的请求量、TB 级别的数据量）；
Golang开发工程师,https://www.lagou.com/jobs/6181607.html,闵行区,15k-28k,上海易路软件有限公司,1-3年,本科,弹性工作 股权激励 带薪年假 团建旅游,1.负责Golang微服务的开发和性能优化；2.根据产品需求完成业务功能交付。   岗位要求：1.本科及以上学历，计算机或相关专业；2.两年及以上的Golang开发经验，熟悉Golang语言机制和性能调优，能独立完成单个Golang微服务开发；3.熟悉分布式系统，SQL和NoSQL应用，及消息中间件；4.有良好的团队合作精神，善于沟通。
资深Golang开发工程师,https://www.lagou.com/jobs/5982096.html,杨浦区,18k-30k,上海晓信信息科技有限公司,3-5年,本科,全站Go 自研微服务框架 微服务K8S化,岗位职责:1. 采用Go语言(Golang)开发高可用，高并发的后端组件、服务；2. 保证系统的效率和可靠性以及代码质量和可维护性；3. 维护优化后台微服务；4. 参与后台系统设计；5. 基于go语言使用grpc+http打造高性能微服务；6. 高并发，参与千万量级用户基础系统建设；7. 团队技术氛围好，定期组织技术交流和分享，个人成长空间大；任职要求:1. 大学本科以上学历，计算机专业优先；2. 三年左右服务器端开发经验，一年以上Go语言开发经验；3. 熟练掌握MySQL、Mongodb、Redis，熟悉Linux者优先；4. 熟练掌握常用数据结构和算法；5. 熟悉Socket和多线程编程；6. 具有良好的抽象设计能力，思路清晰，善于思考；7. 能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力的能力；8. 学习能力强，能够无障碍阅读英文技术文档。
Golang后端研发,https://www.lagou.com/jobs/6429089.html,虹口区,22k-30k,威比网络科技（上海）有限公司,3-5年,本科,大型互联网教育公司,岗位描述： 1、负责实时互动通讯系统平台的开发和维护；2、适应系统发展的技术架构调整及网站性能的调优；3、责任心强，具备独立处理问题的能力；4、有较强的团队协作意识及独立解决技术问题的能力。任职要求：1、熟悉Linux系统，熟悉网络编程，多线程编程技术2、熟悉TCP/UDP/HTTP等网络协议3、3年以上 Golang 开发经验，精通Golang语言高性能开发与并发机制4、熟练掌握Golang常用框架，深入了解框架提供的特性及其实现原理细节5、负责或参与WebRTC相关项目，或者中间件工具开发者优先
golang高级开发工程师,https://www.lagou.com/jobs/5374344.html,闵行区,20k-30k,上海方趣网络科技有限公司,3-5年,大专,双休 加班少 项目奖金 公司前景好,"待遇优厚，周末双休，更有项目奖金。全新3D项目，海外发行，欧美型风格，有丰富的发行经验，期待你的加入！岗位职责：1、根据策划案设计模块的流程结构，逻辑结构，并用Go语言实现；2、负责服务器相关工具，组件的开发以及优化。岗位要求：1、三年或以上游戏开发经验，一款完整网络游戏项目经验；2、熟练掌握C++编程或者Golang，具有良好的数据结构和算法基础；3、熟练掌握数据库(redis, mongodb，MySQL或者其他)开发及优化；4、熟悉一门脚本语言shell, Python等，熟悉socket网络编程；5、具备良好的分析解决问题能力，擅长通过写脚本或开发/利用工具调试，发现并解决问题；6、有良好的团队协作意识和学习能力。"
高级Golang开发工程师,https://www.lagou.com/jobs/4049440.html,黄浦区,25k-50k,北京字节跳动科技有限公司,3-5年,本科,六险一金，餐补，租房补贴，休闲下午茶，职业大牛,
GO语言开发工程师,https://www.lagou.com/jobs/5796840.html,徐汇区,20k-40k,上海天壤智能科技有限公司,5-10年,本科,"AI,人工智能,大数据","职责描述：1. 大规模数据处理平台研发。2. 能够进行离线/实时数据处理的设计和实现。3. 负责开发框架的搭建、改进4. 选择合适的技术方案满足业务需求, 负责系统性能的优化任职要求：1. 计算机相关专业本科及以上学历。2. 深入使用 Go 语言，掌握至少一种 Web 框架，熟悉 Gin、GORM；可以使用 goroutine、channel、mutex 写出地道的并发逻辑；了解 pprof 性能调优。3. 熟悉 Git, CI / CD 工作流。有 review 代码的经验。4. 熟悉 SQL 并具有一定的 SQL 优化能力, 熟悉常用 NoSQL 解决方案，了解各自的优缺点以及使用场景。5. 对大规模数据量的系统设计，系统性能调优有经验的优先加分项：1. 熟悉 Docker, K8s 容器技术。2. 有长期维护的个人技术博客。3. 发起或参与过开源项目。4. 良好的编程习惯和代码风格，追求代码可读性，有代码洁癖更好。"
Golang,https://www.lagou.com/jobs/5941356.html,杨浦区,15k-30k,上海晓信信息科技有限公司,1-3年,本科,13薪、研发80人+、公司500人+,"职位亮点：1. 后端全栈Go2. 全部微服务化3. 自研简洁高效Go微服务框架4. 微服务全部k8s化5. 今年计划上istio岗位职责:1、采用Go语言(Golang)开发高可用、 高并发的后端组件、服务；2、保证系统的效率和可靠性以及代码质量和可维护性；3、维护优化后台微服务；4、参与后台系统设计。任职要求:1、本科以上学历计算机相关专业；2、半年以上Go语言开发经验；3、熟练掌握MySQL、mongodb、Redis,熟悉Linux者优先；4、熟练掌握常用数据结构和算法；5、熟悉Socket和多线程编程；6、具有良好的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力的能力；7、学习能力强，能够无障碍阅读英文技术文档。"
go语言研发工程师,https://www.lagou.com/jobs/6243206.html,闵行区,15k-30k,北京众享比特科技有限公司,3-5年,不限,"全额社保,年终奖金,员工旅游,半年调薪",岗位职责1. 承担面向企业和行业的区块链应用、平台产品的设计开发及方案制定；2. 承担区块链底层系统机制原理、技术攻关和创新，提高其性能，安全性和可靠性；3. 参与项目需求与设计、开发、测试、运维等工作，并按照要求输出相关文档；4. 参与开发体系规范、流程优化，实践CI/CD过程，提升研发效率；5. 参与后端技术生态构建，组织团队技术分享，促进团队成长。任职要求1.大专毕业，4年以上后端Linux/Unix下C/C++/Java开发经验；至少2年以上的Golang开发经验；2. 统招本科及以上学历，计算机相关专业毕业，3年以上后端Linux/Unix下C/C++/Java开发经验，至少1年以上的Golang开发经验；3. 熟练掌握Golang技能，熟悉Golang常用库、Golang项目构建、工程化机制及工具使用；4. 熟练掌握Linux常用命令的使用及参数配置，熟悉shell脚本语法；5. 熟悉常用的数据结构及算法，熟悉软件系统设计方法及理论，能独立完成系统模块开发；6. 熟悉SQL和NoSQL的一种或多种，熟悉数据库设计的基本方法及理论；7. 熟悉TCP/IP、HTTP(S)、gRPC网络编程及通信协议；8. 熟悉Git、MarkDown、JIRA、Docker、CI/CD产品研发管理工具及流程；具备以下者优先：1. 有英文文档阅读能力；2. 熟悉区块链的原理、机制和相关加密算法，有Hyperledger开发经验；3. 有微服务、分布式计算、分布式存储系统开发设计经验；4. 有k8s/swarm集群服务编排部署部署经验；
高级Golang开发工程师,https://www.lagou.com/jobs/6301628.html,浦东新区,20k-40k,上海纸上绝知智能科技有限公司,3-5年,本科,期权，餐饮补贴，五险一金，带薪年假,职位诱惑：人工智能、落地产品、与行业大牛0距离接触团队年轻活力，有机会接触到最前沿的 AI 技术，并在实际落地的 AI 项目中发挥作用，创造用户体验一流的 AI 产品。有竞争力的薪酬，工作餐补助，租房补贴，生日礼品卡，五险一金足额缴纳，每年10至15天带薪年假，工作环境优美弹性工时，日常工作有吃不完的零食水果，与不定期的聚餐/郊游活动期权激励岗位职责：1.   负责基于微服务架构的 AI 生产系统的后台设计与研发2.  使用容器化部署技术对进行服务进行动态发布与管理3. 与客户端及系统其它模块之间的通信接口的设计与实现，维护相关文档4. 将服务端架构优化到极致，最大限度提供服务的性能和可访问性，降低服务运维成本 职位要求：1. 计算机相关专业本科学历及以上，985/211优先2. 掌握至少一门服务端编程语言，Java/Python/Golang/C/C++等均可，Golang 优先3. 熟练使用Linux操作系统及常用命令，熟练使用MySQL/PostgreSQL4. 掌握容器化开发和部署，在实际项目中使用过 docker/k8s 进行开发和部署者优先4. 能够独立完成服务端代码的编写、测试、部署与维护，认为代码是责任而不是资产5. 有良好的沟通能力，能够与PM沟通需求，并与前端客户端等对接联调6. 有良好的英文读写能力，能熟练使用Google搜索引擎查找阅读英文资料
高级开发工程师（Golang）,https://www.lagou.com/jobs/5910108.html,浦东新区,20k-30k,上海七猫文化传媒有限公司,3-5年,大专,用户体量大 发展空间大,职位描述：1、负责维护公司现有项目（七猫免费小说DAU300w+）；2、负责项目的设计与核心程序模块的编写；3、撰写项目设计文档，定期维护与更新项目文档；4、上级领导交代的其他事项；任职要求：1、全日制大专及以上学历，计算机类相关专业；2、3年以上Golang开发经验；3、熟练掌握MySQL数据库开发和应用，具备数据库性能优化经验；4、要求综合能力强，能够独立负责完整项目的维护；5、具备较强的沟通协调能力，具备较强的需求分析能力和团队精神；6、有微服务架构经验者优先考虑。我们的福利：1、提供免费早餐+午餐补贴+提供加班餐2、定期提供健康体检+免费入职体检3、年假+春节带薪路程假4、五险一金+补充商业医疗保险5、通讯补贴+交通补贴
高级Golang开发工程师,https://www.lagou.com/jobs/6438680.html,虹口区,20k-35k,上海初生网络科技有限公司,3-5年,本科,"团队氛围好,零食多多,Macpro顶配",工作职能：1、采用Go语言(Golang)开发稳健可扩展的后端程序； 2、通过单元测试、自动化以及代码审查等提升优化代码质量； 3、积极参与各种头脑风暴会议并对用到的技术、算法和产品功能提出意见和建议； 4、同产品和设计团队协作，理解用户需求，归纳功能用例，并转化为高效的技术解决方案； 5、重点及难点技术攻坚，并按时交付研究成果。 岗位职能：1、计算机相关专业，两年以上后端开发经验；2、熟悉 Go/Java/Python 等至少一门语言，有Golang开发经验者优先；3、扎实的算法、数据结构基础；4、对设计模式有了解，熟悉网络编程、并发编程；5、熟悉*nix系统，具备发现和解决系统瓶颈的能力；6、熟悉Nginx、Memcached、Redis、MQ 等组件，了解其原理及优缺点；7、熟悉常见数据库(MySQL、MongoDB等）的设计使用和性能优化；8、良好的沟通、分析及解决问题的能力，团队合作能力。
资深Go开发工程师,https://www.lagou.com/jobs/6428603.html,虹口区,20k-30k,威比网络科技（上海）有限公司,5-10年,本科,大型互联网教育公司,职责描述：1、  负责基础架构、基础中间件、公共组件的设计和研发2、  负责第三方开源组件的研究、二次开发和落地工作3、  负责业务架构的中间件的改进和迭代工作任职资格:1、至少5年Java/Golang项目开发经验，熟练掌握Golang/Java语言和特性，有丰富的程序故障排除和性能调优经验；2. 熟悉悉TCP/IP协议，熟练掌握Linux网络编程和多线程编程技术；3. 熟悉基础架构、中间件、微服务化、中台等基础平台设施的的搭建运营；4、熟悉主流开发技术和分布式系统原理，包括但不限于MQ，Mysql，Redis，MongoDB，Zookeeper/ETCD，Kafka，HBase等；5、有探索精神和较强的学习能力，能主动有效的推动复杂技术探索任务；6、有大型高并发项目架构设计或开源社区贡献者经验优先。
后端开发工程师（Golang）,https://www.lagou.com/jobs/5676146.html,虹口区,15k-30k,上海初生网络科技有限公司,3-5年,本科,期权激励，弹性工作，发展前期好,"职位描述：采用Go语言(Golang)开发稳健可扩展的后端程序； 通过单元测试、自动化以及代码审查等提升优化代码质量； 积极参与各种头脑风暴会议并对用到的技术、算法和产品功能提出意见和建议； 同产品和设计团队协作，理解用户需求，归纳功能用例，并转化为高效的技术解决方案； 重点及难点技术攻坚，并按时交付研究成果。 职位要求 ：1、3-5年的实际项目开发经验； 2、本科及以上学历，计算机相关专业，全面的计算机理论基础；3、具备扎实的相关软件开发技能，能根据架构要求，开发设计可扩展、可复用、高性能的功能模块； 4、具备网络编程知识的实际应用和优化经验，能始终保持对新技术的学习热情； 5、具备LinuxUnix平台下的编程和操作经验，熟悉一种或者多种脚本语言(Python, Perl, Shell等)；6、熟悉Nginx、Tomcat、Redis、ELK 等常见服务的维护，了解其原理及优缺点；7、熟悉MySQL、MongoDB等数据库的优化；8、了解虚拟化技术解决方案和相关的实操经验，有Docker上开发经验者优先；"
高级golang开发工程师,https://www.lagou.com/jobs/4190823.html,杨浦区,20k-40k,上海晓信信息科技有限公司,1-3年,本科,"扁平管理,晋升通道,地铁周边,有美女","我们的优势1、全栈Go语言开发高可用、 高并发（300万日活）的后端组件、服务，实现你的高并发梦；2、服务微服务化，全部上k8s且一键部署，减轻你的部署烦恼；3、公共仓库，可以看到所有的Go代码，满足你的求知欲；4、定期技术分享，可换岗学习，让你距离大牛越来越近；任职要求:1、大学本科以上学历计算机相关专业；2、三年左右服务器端开发经验,一年以上Go语言开发经验；3、熟练掌握MySQL、mongodb、Redis,熟悉Linux者优先；4、熟练掌握常用数据结构和算法；5、熟悉Socket和多线程编程；6、具有良好的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力的能力；7、学习能力强，能够无障碍阅读英文技术文档。"
golang服务器开发,https://www.lagou.com/jobs/4288365.html,徐汇区,20k-30k,上海米哈游网络科技股份有限公司,1-3年,本科,"技术牛人多,扁平化,年终多薪,六险一金",工作职责1.负责用户社区及通行证系统的开发及维护。2.负责游戏SDK的开发。3.负责游戏平台基础服务及组件的开发。4.负责活动和官网的开发。工作要求1.本科以上学历，有两年以上的服务端开发经验者优先。2.对微服务架构有一定程度的研究并有开发经验，在服务治理，服务监控方面有相关经验。3.熟悉Web技术栈和Web应用开发，包括HTTP、安全、数据库、缓存、消息队列等。4.熟悉SQL和数据库设计，具备mysql数据库设计和性能优化经验；熟悉主流非关系性数据库、缓存技术，例如：Redis、MongoDB、Memcached等。5.掌握基本的前端知识js、ajax等，了解前后端分离架构。6.了解Linux/Unix系统常用命令，了解docker、kubernetes等容器技术。7.有高并发，海量用户经验优先。
Golang后端工程师,https://www.lagou.com/jobs/4500719.html,徐汇区,8K-15K,上海祈牛健康科技有限公司,1-3年,本科,"五险一金,发展空间大,大牛云集,员工旅游",工作内容:1.参与公司CMS后端核心系统的设计与开发；2.参与制定公司技术文档和开发规范，并对开发过程进行持续改进；3.参与公司其它互联网平台产品设计与开发。工作要求：1.扎实的编程功底，对数据结构和算法设计具有良好的理解；2.熟练掌握一种或几种后台开发语言(Go/Java/Python/PHP)，熟练掌握Go开发语言有限；3.熟悉MySQL/Redis等数据存储系统开发和性能优化技巧；4.对缓存、队列、存储、网络、代理、配置等各种服务端开源方案有了解；5.热爱技术，勇于创新，具备优秀的理解、沟通和学习能力。
高级Golang开发工程师,https://www.lagou.com/jobs/6445899.html,浦东新区,30k-50k,上海基分文化传播有限公司,3-5年,本科,六险一金；午餐补贴,工作职责：1. 平台型产品的技术架构设计与开发2. 参与复杂业务系统设计与开发3. 攻克高并发、系统解耦等方面的技术难关任职资格：1. 熟练掌握至少一种后端开发语言，能够或愿意使用Golang进行开发2. 有良好的数据结构、算法基础，熟悉Linux操作系统、网络协议、多线程编程3. 具备很强的编码能力、抽象能力，有良好的编程风格4. 有大流量、复杂业务分布式系统的设计和开发经验优先5. 有大型画像、实验、日志收集等数据系统的设计和开发经验优先6. 有良好的学习能力，沟通能力，上进心和团队协作能力
Golang后端开发工程师(J10248),https://www.lagou.com/jobs/6471493.html,闸北区,20k-30k,心动网络股份有限公司,3-5年,本科,保底14薪，年度海外旅游，免费三餐,工作职责：1、负责公司互联网方向产品的后端的开发和维护，保证需求正常推进，保证服务器高质量运行；2、持续优化后端的设计和实现，撰写技术文档，保证服务的可维护性；3、能够及时解决突发问题，为运营人员提供必要的帮助。任职资格：1、计算机相关专业，本科及以上学历；2、三年以上后端开发经验，熟练掌握Go语言；3、有大流量分布式系统或大型复杂业务系统的设计和开发经验者优先；4、有开源项目参与经验者优先，并在简历中附上地址。
Golang后端研发工程师,https://www.lagou.com/jobs/6469600.html,静安区,15k-25k,上海聿智山信息科技有限公司,1-3年,本科,钻研技术，年轻活力，年底双薪，周末双休,职位描述- 维护优化后台微服务；- 负责后台系统模块设计；- 编写后端系统接口文档；职位要求- 精通Golang程序开发，熟悉多线程、网络编程；- 熟悉高并发及发布式系统设计方法；- 熟悉掌握TCP/IP、Linux下服务器软件设计；- 熟练掌握常用的数据结构和算法；- 了解Redis、MySQL/MongoDB的使用；- 有良好的学历能力和执行力；- 计算机或相关专业本科及以上学历；- 有参与开源项目经验者优先。
资深Golang工程师,https://www.lagou.com/jobs/6286114.html,浦东新区,20k-30k,连尚（北京）网络科技有限公司,5-10年,不限,"股票期权,弹性工作,行业独角兽","1、深入需求，负责公司核心系统的设计与研发工作； 2、不断重构及优化系统，提升系统的性能及可靠性；3、定期组织 Code Review, 提升小组的代码规范与实现能力；4、参与技术选型，提出有前瞻性的可参考的技术方案；1、2年以上Golang开发经验；2、熟悉服务端接口开发，有一定的技术架构经验；3、熟悉http，protobuf，grpc；4、熟悉goroutine，channel，io，http等模块；5、掌握mysql，mongo，redis基本使用；6、有分布式，高并发系统开发经验优先；"
golang开发工程师（猫耳-上海）,https://www.lagou.com/jobs/6304420.html,杨浦区,9k-15k,上海哔哩哔哩科技有限公司,1-3年,本科,撸猫、二次元、氛围好、基友多。,职位描述：职位描述：1. 设计、开发、测试、部署、维护和改进软件。2. 合理安排各个任务的优先顺序，确保每个任务都能按时完成，并交付出色的工作成果。任职要求：1. 有一种或多种编程语言方面拥有经验，包括不限于：Go，PHP 或 JavaScript。2. 有网络应用开发，App 服务端领域的工作经验优先考虑：1. 热爱二次元文化，熟悉电竞、动漫、游戏、电影2. 参与开源项目或有自己开源项目3. 有 GitHub 或个人博客
资深Golang开发工程师,https://www.lagou.com/jobs/6099066.html,杨浦区,25k-50k,北京字节跳动科技有限公司,3-5年,本科,六险一金，弹性工作，免费三餐，餐补,
golang后端开发工程师,https://www.lagou.com/jobs/6010742.html,浦东新区,18k-25k,上海大智慧股份有限公司,1-3年,本科,"互联网金融,主板上市","岗位职责：1.参与云平台框架及相关基础组件开发工作；2.参与云服务基础服务和数据接口开发工作；3.负责设计相关服务的api和文档编写；4.保证系统的效率和可靠性以及代码质量和可维护性；5.需要较强的沟通能力以及协调配合产品、测试、运维和其它开发人员；6.根据功能需求和设计方案进行开发，完成代码编写和调试工作。岗位要求：1.本科及以上学历，2年及以上的服务端开发经验;2.熟练使用Linux操作系统, 熟悉rpc调用;3.熟悉Redis、MongoDB、Memcache等nosql技术、熟悉beego、etcd、gRPC等第三方库4.拥用良好的编码规范，有良好的文档编写能力与代码组织能力，熟悉Git5.对新技术有较好的研究能力，良好的团队协助精神，逻辑思维清晰,拥有优秀的分析问题和解决问题的能力；6.有高并发服务开发经验、有相应的云服务开发经验、熟悉go语言优先考虑7.了解证券行情/交易相关业务者优先考虑。"
Golang 游戏开发工程师,https://www.lagou.com/jobs/5933329.html,松江区,12k-20k,天天飞行（上海）科技有限公司,1-3年,本科,平台好、氛围好、领导棒,-参与服务端系统设计-负责服务端功能模块开发，功能模块文档编写-维护改进服务端模块设计和模块功能开发 职位要求：-本科及以上学历，计算机相关专业-2年以上完整GOLANG游戏项目开发经验-熟悉数据结构和常用算法-熟悉网络通迅模块开发，对HTTP/TCP有深入了解-熟悉多线程编程技术-熟悉MYSQL数据库功能模块使用和开发-熟悉LINUX 环境下GOLANG 的开发和调试技巧-熟悉一种以上脚本语言(PYTHON/SHELL)开发
GO高级研发工程师,https://www.lagou.com/jobs/6235132.html,长宁区,20k-40k,云账户（上海）智能科技有限公司,3-5年,本科,节日福利、绩效奖金、商业保险,岗位职责：1、负责公司手机APP项目后端和数据收集分析系统的研发工作，保证服务的高并发和高可用；2、根据系统发展，对技术架构不断调整，持续优化；3、通过单元测试、自动化以及代码审查等提升优化代码质量；4、能同产品团队积极协作，并能根据需求转化合理高效的技术解决方案；5、负责相关项目开发接口文档的撰写与维护。任职要求:1、本科或以上学历，有扎实的数据结构和算法基础，具备良好的面向对象思想；2、熟练掌握Golang开发（或有其它后端语言经验，愿意转Golang开发），对高并发和高可用架构系统有正确、深刻的理解，有分布式后端开发经验优先；3、熟悉常用的SQL、NoSQL数据库原理、使用场景、限制及常用性能优化技术，如有ClickHouse、TiDB经验者更佳；4、熟悉Linux，熟悉shell等脚本语言；5、有强烈的责任心、沟通能力强、有较强的团队合作意识、具备良好的独立思考能力。  14薪+4次季度奖金（每次0.5-3个月薪资）+年终奖金（2-6个月薪资）、补充商业保险。
GO高级开发,https://www.lagou.com/jobs/6295396.html,徐汇区,16k-20k,上海小讯鸽网络科技有限公司,1-3年,本科,发展前景,"岗位描述：1） 负责公司业务平台的后端服务开发工作；2） 负责公司各业务产品的技术方案评审工作；3）负责公司产品开发的前后端接口文档的撰写与维护。任职要求：1）全日制本科及以上学历，计算机相关专业，两年以上服务端开发经验，有中大型系统开发经验者优先；2） 熟悉 Linux 环境下的 go 语言开发，熟练掌握常用框架，了解框架提供的特性及其实现原理与细节；3）熟悉 gRPC, protobuf, 以及微服务架构体系；4） 熟悉 TCP/IP，WebSocket，HTTP 等常用网络协议，熟悉 RESTful 规范；5）熟悉 rocketmq,kafka,MySQL，Redis，MQ，Nginx，HBase 等产品的原理，机制和性能优化实践；6）对高负载、大访问量情况下的系统架构的搭建、调试、排错、优化、部署等方面有一定的经验；7）具备良好的沟通能力和分析、解决问题的能力；主动学习、乐于分享。8）对代码质量有追求，命名规范，结构清晰，逻辑性强；9）有解决问题、钻研新技术的兴趣与能力，能够自我驱动。加分项：1）有高并发或海量数据开放经验；2） 熟练掌握一种以上编程或脚本语言（c/c++,java,Lua,python,Shell）并能灵活运用；3）在 GitHub 有相关开源作品或有参与开源项目.4) 有游戏开发经验"
GO语言研发,https://www.lagou.com/jobs/5799001.html,徐汇区,15k-30k,上海魔芋网络科技有限公司,1-3年,本科,"公司高速发展,每年出国游,技术氛围好",岗位职责：1、参与讨论，负责大规模高并发系统采集端及后端的设计、开发、测试、上线等工作。2、在客户处（上海市区）驻场开发，与客户沟通技术方案。职位要求：1、熟悉Linux系统2、至少熟练掌握c/c++/golang中的一种语言3、熟悉常用的数据结构和算法4、至少参与完成过一个项目，独立完成过一个项目5、善于与人沟通，具备独立分析问题，解决问题的能力6、具备良好的学习能力
GO高级开发工程师,https://www.lagou.com/jobs/6406329.html,静安区,20k-30k,上海欢兽实业有限公司,1-3年,本科,平台大，空间大，福利好,"岗位职责1. 参与系统架构设计、优化，提升系统性能和开发效率，保证高并发高可靠；2. 通过不断的技术研究和创新，推动业务的快速发展和高效迭代。任职要求1. 熟悉掌握linux环境下go语言开发；2. 扎实的技术基础，熟悉性能、可用性、伸缩性、扩展性、安全性、运维监控、集成发布等； 3. 深入理解计算机原理, 对数据结构和算法设计有较为深入的理解； 4. 了解微服务架构的技术挑战，熟知相应的解决方案；5. 良好的编码习惯及文档书写习惯； 6. 热爱编程，有良好的自我驱动能力 、学习能力和抽象能力。"
高级go开发工程师,https://www.lagou.com/jobs/6371259.html,长宁区,20k-26k,拉勾猎头,3-5年,本科,六险一金,负责推荐系统核心服务的架构设计和开发1. 计算机相关专业大学本科及以上学历 2. 有三年或以上开发经验，至少1年Golang开发经验 3.熟悉互联网产品架构，有大型分布式、高并发、高负载、高可用性系统设计开发经验者优先； 4.有技术热情和较强的学习能力，对于新技术有浓烈的好奇心，有很好的问题分析和技术攻关能力，具有良好的团队合作能力、沟通能力、抗压能力；
后端开发工程师（golang）,https://www.lagou.com/jobs/6215710.html,杨浦区,20k-40k,上海流利说信息技术有限公司,3-5年,本科,上市公司 技术沉淀 互联网氛围,"职位描述1、为全球领先教育AI 产品建设高性能、稳定可靠、灵活可扩展的后台体系；2、与产品经理、教研、算法、运营等多团队密切配合，是产品的设计者也是实现者。职位要求1、技术扎实，有深有广，喜欢追根溯源；2、3年以上核心后台系统开发经验，对微服务、系统性能调优、数据库、MQ等有实践和见解；3、大多数编程语言对你不是门槛，也请接受我们将Golang \ Ruby 作为主要工作语言，以及对单元测试的执念；4、逻辑思维强大，秉承独立思考，做实事，对不合理要求敢于说“不”；5、心怀好奇，乐于分享，GopherConf, RubyConf, QCon 等技术大会的门票和路费不用你担心；6、大流量、高性能、复杂架构系统核心贡献者优先；7、开源社区贡献者优先，期待看到你的贡献。"
Golang高级开发工程师,https://www.lagou.com/jobs/5495241.html,闵行区,20k-28k,上海易路软件有限公司,3-5年,本科,加班工资，弹性工作，带薪年假，股权激励。,岗位职责：1.负责Golang服务的设计与开发工作；2.根据公司发展需要设计与交付产品系统。职位要求：1.本科及以上学历，计算机或相关专业；2.三年及以上的Golang开发经验，熟悉Golang语言机制，能独立完成Golang服务开发；3.熟悉分布式系统，SQL、NoSQL、消息中间件等；4.有良好的团队合作精神，善于沟通。
Golang后台开发工程师,https://www.lagou.com/jobs/5524081.html,杨浦区,20k-40k,优刻得科技股份有限公司,3-5年,本科,"六险一金,领导好,独角兽公司,弹性工作",工作职责：1. 参与PAAS层中间件服务的设计和研发工作。工作要求：1. 具备扎实的计算机基础，有2年以上Linux后台开发经验；2. 熟悉Go或C/C++语言；3. 熟悉MySQL/MongoDB/Redis等存储产品的使用；4. 熟悉分布式系统的相关技术原理；5. 了解docker、k8s、mesos、marathon、serverless等一项或多项技术点；6. 具备良好的团队合作能力、分析解决问题能力，能够独立承担任务；7. 有PAAS相关产品或大型分布式系统研发经验者优先。
后端开发工程师（Golang）,https://www.lagou.com/jobs/6301592.html,黄浦区,15k-25k,上海阿牛信息科技有限公司,1-3年,本科,弹性工作 发展空间大 有竞争力的薪酬,职位描述：1. 负责服务端业务需求的分析、设计、编码、测试等工作；2. 优化现有系统，保证服务的质量与性能。职位要求：1. 本科及以上学历，三年以上核心后台系统开发经验，一年以上的Golang开发经验，特别优秀者可以放宽条件；2. 具备良好的基本功，有扎实的数据结构和算法基础，深入理解多线程、socket等相关知识；3. 熟悉常用的工具与技术，包括但不限于数据库，缓存，队列，分布式存储，微服务架构等；4. 有高并发、高可用相关开发经验者优先；5. 良好的沟通技能，团队合作能力，工作积极主动。
golang开发主程,https://www.lagou.com/jobs/6480637.html,徐汇区,20k-30k,上海星线网络科技有限公司,5-10年,不限,精英团队，零食饮料，弹性工作，按摩椅,1、3年以上游戏后端开发经验2、熟练掌握MySQL、Redis等数据库3、熟练掌握常用数据结构和算法4、熟悉线上部署流程，对AWS，GCP，阿里云，腾讯云等云端技术有相关了解4、精通常用数据结构和算法，具备良好的程序设计和实现基础5、学习能力强，能够无障碍阅读英文技术文档6、了解Go生态，了解docker，k8s，micro-service等组件，了解持续集成，自动化测试6、热衷于钻研技术，热爱游戏，热爱软件开发，工作踏实认真，责任心强，抗压能力强，勇于接受挑战 岗位职责：1.负责新项目服务器端架构设计、模块划分、单元测试2.负责服务器性能优化3.负责管理项目服务端代码质量4.负责前期服务器端程序逻辑开发和维护、辅助工具的开发5.与策划、美术以及客户端密切配合，保证产品的高效开发与质量
GO语言后台开发工程师,https://www.lagou.com/jobs/5681891.html,浦东新区,20k-40k,上海倾听信息技术有限公司,3-5年,本科,团队优秀,岗位职责：1、 完成服务端功能的设计与开发，保障需求正常推进。2、 负责服务的部署和运维，保证服务高质量的运行。3、 持续优化服务的设计与实现，撰写技术文档，保证服务的可维护性。4、 分析服务数据及日志，指导产品设计和业务运营。5、 参与团队code review，design review等工作。6、 主动思考产品需求，并依据平台特性提出体验、功能方面的优化建议。 岗位要求：1、 计算机相关专业本科及以上学历，有过大型计算机竞赛经验优先。2、 有扎实的计算机知识、优秀的算法基础及良好的代码习惯。3、 2年以上服务端开发经验，有中大型系统开发经验者优先。4、 熟悉Go语言，熟悉Linux操作系统，熟悉sql/mongo/redis等常用数据库。5、 能够理解产品设计和业务运营，愿意以技术手段帮助业务发展。6、 有较强的团队意识，能与其他成员高效沟通协作。富有激情，勇于挑战，具备优秀的学习能力和解决问题能力。
