职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
Go架构师,https://www.lagou.com/jobs/5956281.html,静安区,30k-50k,上海欢兽实业有限公司,3-5年,本科,"扁平化管理,平台大,奖金多,15薪",岗位职责：1. 负责大型项目的架构升级，包括技术选型，核心功能实现和性能优化等等2. 精通Golang技术栈，有过分布式或高并发系统的开发经验3. 支撑流量及数据快速增长岗位要求：1. 熟悉c/golang，以及常用设计模式2. 扎实的数据结构及算法、了解多种分布式事务以及补偿机制3. 主导过至少一个高并发系统的设计实现，并上线稳定运行4. 具有极强的执行力，高度的责任感、很强的沟通能力，能够在高压下高效工作5. 精通高性能网络服务设计和开发，熟悉HTTP、TCP/IP网络协议6. 了解常用的kv系统、数据库7. 了解分布式相关原理和常用解决方案加分项：1. 大型电商或互联网背景2. 积极参与开源社区，有自己的开源作品3. 非常强的geek风格
go开发工程师,https://www.lagou.com/jobs/6285800.html,虹口区,15k-20k,上海芯翌智能科技有限公司,3-5年,本科,带薪年假、团队氛围、年终奖、五险一金,1、负责智慧城市、智慧工业等解决方案的服务器端研发工作；2、和团队一起攻克系统性能提升，高并发、高可用、业务解耦、数据隔离、隐私保护、架构扩展等各种技术难题；3、负责新技术的钻研探索和引进，帮助业务达成目标。任职资格：1、计算机相关专业本科及以上，3年以上开发工作经验；2、熟练掌握go语言和相关框架，能够自主完成后端系统设计与实现；3、掌握Redis、Mongodb，Mysql等存储系统原理及应用；4、良好的团队协作精神和执行力，较强的分析问题和解决问题能力；5、有高并发线上系统研发经验，熟练使用常用的性能优化方法和工具。
golang工程师,https://www.lagou.com/jobs/5020178.html,黄浦区,15k-25k,上海魔芋网络科技有限公司,1-3年,本科,每年出国游,岗位职责：参与讨论，负责后端服务的设计、开发、测试、上线等工作。职位要求：1、熟悉Linux系统2、至少熟练掌握c/c++/golang中的一种语言3、熟悉常用的数据结构和算法4、至少参与完成过一个项目，独立完成过一个项目5、善于与人沟通，具备独立分析问题，解决问题的能力6、具备良好的学习能力
GO架构师,https://www.lagou.com/jobs/6459252.html,静安区,50k-60k,上海欢兽实业有限公司,3-5年,硕士,五险一金,岗位职责：1. 负责大型项目的架构升级，包括技术选型，核心功能实现和性能优化等等2. 精通Golang技术栈，有过分布式或高并发系统的开发经验3. 支撑流量及数据快速增长任职要求：1. 熟悉c/golang，以及常用设计模式2. 扎实的数据结构及算法，了解多种分布式事务以及补偿机制3. 主导过至少一个高并发系统的设计实现，并上线稳定运行4. 具有极强的执行力，高度的责任感、很强的沟通能力，能够在高压下高效工作5. 精通高性能网络服务设计和开发，熟悉HTTP、TCP/IP网络协议6. 了解常用的kv系统、数据库7. 了解分布式相关原理和常用解决方案加分项：1. 大型电商或互联网背景2. 积极参与开源社区，有自己的开源作品3. 非常强的geek风格
Golang 开发工程师,https://www.lagou.com/jobs/6312357.html,浦东新区,10k-20k,天天飞行（上海）科技有限公司,1-3年,本科,平台好、氛围好、领导棒,1、负责新项目服务器端架构设计、模块划分、单元测试2、负责服务器性能优化3、负责管理项目服务端代码质量4、负责前期服务器端程序逻辑开发和维护、辅助工具的开发5、与策划以及客户端密切配合，保证产品的高效开发与质量任职资格：1、具有2年以上Go语言开发经验，经历过一个完整的项目，游戏立项到上线的整个开发过程者优先2、精通常用数据结构和算法、精通面向对象程序设计3、熟悉Linux，熟悉常用的第三方组件，redis，mysql等4、熟悉socket和多线程编程，熟练掌握1-2门其他语言优先5、了解Go生态，了解docker，micro-service等组件，了解持续集成，自动化测试6、有极强的学习能力和抗压能力，良好的编码习惯；7、有棋牌游戏服务开发经验优先；
Golang 开发工程师,https://www.lagou.com/jobs/6312347.html,浦东新区,15k-20k,天天飞行（上海）科技有限公司,3-5年,本科,平台好、氛围好、领导棒,1、负责新项目服务器端架构设计、模块划分、单元测试2、负责服务器性能优化3、负责管理项目服务端代码质量4、负责前期服务器端程序逻辑开发和维护、辅助工具的开发5、与策划以及客户端密切配合，保证产品的高效开发与质量任职资格：1、具有2年以上Go语言开发经验，经历过一个完整的项目，游戏立项到上线的整个开发过程者优先2、精通常用数据结构和算法、精通面向对象程序设计3、熟悉Linux，熟悉常用的第三方组件，redis，mysql等4、熟悉socket和多线程编程，熟练掌握1-2门其他语言优先5、了解Go生态，了解docker，micro-service等组件，了解持续集成，自动化测试6、有极强的学习能力和抗压能力，良好的编码习惯；7、有棋牌游戏服务开发经验优先；
Golang开发工程师,https://www.lagou.com/jobs/5734229.html,虹口区,20k-30k,上海启日信息技术有限公司,3-5年,本科,扁平管理 绩效奖金 弹性工作 氛围轻松,岗位职责：1.负责底层公链的设计及实现；2.负责区块链上层应用的设计与实现； 3.按照系统设计要求完成相关的单元测试和集成测试，编写相关的技术文档。 任职要求：1.大学本科及以上学历，计算机相关专业； 2.精通一门主流编程语言，有Golang开发经验者优先；3.精通数据结构及算法，熟悉计算机网络； 4.具有分布式系统设计及开发经验者优先； 5.熟悉比特币、以太坊等主流区块链系统设计原理者优先；6.严谨的思维能力以及良好的编写习惯； 7.良好的英语技能，具备熟练阅读英文文档及对外沟通的能力。
资深Golang开发工程师,https://www.lagou.com/jobs/4082464.html,徐汇区,25k-50k,上海竟跃网络科技有限公司,3-5年,本科,"团队氛围好,扁平化管理,电竞游戏","岗位描述:主导开发linux环境下的分布式高可用服务，参与分布式服务的架构设计，提升服务可用性和伸缩能力。岗位职责：1. 完成需求实现，及相关服务的接口设计和方案制定；2.参与架构优化，代码重构，提升服务的可用性和扩展能力;3.调研技术优化方案，并协调推进落地；岗位要求：1. 3年以上服务开发经验，且一年以上纯Golang开发经验。有主导，参与中大型互联网项目经验者优先。2. 技术基础扎实，熟悉操作系统原理，掌握常用数据结构、算法及主流技术方案。有建模能力者优先，本科及以上计算机相关专业背景优先。3. 英文读写能力强，习惯通过官方文档，google, github，stackoverflow等途径寻找问题答案。CET-6优先；4. 熟悉linux环境配置及优化，熟悉TCP/IP协议栈。掌握Sockets编程，数据库、缓存设计，分布式集群设计。有IM，直播，支付系统经验者优先。5. 沟通推进，团队协作能力强，有良好的抗压能力。有项目主导、管理经验者优先。6. 学习，理解能强，技术热情高。有开源项目参与经验者优先。"
golang后端,https://www.lagou.com/jobs/6318714.html,闵行区,8k-15k,上海元笛软件有限公司,1-3年,大专,"年底双薪,双休,团建活动",1年以上的Go经验，对语言有较深理解；熟悉常用的网络协议及开发（TCP、UDP、HTTP）；熟悉Windows/Linux开发环境，熟悉多线程编程；熟悉Web相关技术优先；有大规模分布式系统的设计与开发经验优先；良好的英文听说读写能力；全面的计算机基础知识结构（数据结构与算法、操作系统、网络、安全、数据库等）；优秀的逻辑思维能力和学习能力；良好的分析解决问题能力，能独立承担任务；良好的沟通能力、团队协作精神
Golang开发工程师（赴bilibili),https://www.lagou.com/jobs/6352373.html,杨浦区,8k-15k,上海微创软件股份有限公司,不限,大专,工作环境好,岗位外派Bilibili（可接受有相关实习经验的应届生）工作内容：1.负责公司后端项目开发工作，保证代码质量并进行性能优化，以及系统稳定性；2.负责服务端接口的开发、维护，以及与前端系统联调工作；3.撰写相关开发技术文档；职位要求：1.熟练掌握Golang开发语言；2.熟悉 Linux / Unix 操作系统，熟练使用常用命令；3.熟悉Internet常用协议，如HTTP、TCP/IP，了解Web Service以及Restful等相关的概念；4.熟悉MySQL/Redis等数据库，熟悉常用的系统性能分析及优化方法;5.有良好的沟通和合作技巧，较强的学习能力，责任心以及团队合作精神；上班地址：上海市杨浦区政立路485号国正中心3号楼bilibili
