职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
Java高级开发工程师,https://www.lagou.com/jobs/6490464.html,杨浦区,20k-30k,阿里体育有限公司,5-10年,本科,参与公司高并发核心系统开发，成长空间大！,会员&权益方向岗位职责：1.作为团队核心开发，参与各种产品需求讨论，技术方案确定，以及技术研发和产品上线工作；2.并解决各种疑难杂症，系统优化，并且完成横向技术与业务产品平台和组件的沉淀；任职要求：1.精通Spring boot；2.熟练掌握CoreJava、数据结构及算法、J2EE技术及原理等Java知识，linux/Html/UML/JavaScript/Velocity，数据库Mysql，熟悉Spring，iBatis等开源框架；熟悉各种设计模式；3.具备系统调优、性能调优等技能，对疑难技术问题具备较强的排查能力；4.熟悉各类java主流中间件，至少精通1-2类。5.熟悉DDD/敏捷开发体系。6.参与过开源项目的优先，如Akka等。
java工程师,https://www.lagou.com/jobs/6492120.html,杨浦区,30k-60k,成都智慧海派科技有限公司,5-10年,本科,公司稳定福利好,1、计算机及相关专业本科以上学历，3年以上开发经验； 2、扎实的Java基础，熟悉Java的io、多线程、集合等基础框架，有良好的编码习惯，掌握面向对象设计原则，可熟练运用常见的设计模式 3、熟悉J2EE开发，熟悉常用分布式开源框架，如缓存，消息中间件，并了解原理和机制。 4、熟悉Oracle、Mysql等常见数据库； 5、有良好的沟通能力，善于思考，积极主动，乐于分享，团队精神佳，能承受工作压力，富有进取心与执行力 6、有互联网，在线电商、OTA等经验优先。
java,https://www.lagou.com/jobs/6488258.html,嘉定区,8k-10k,上海优板电子商务有限公司,3-5年,本科,春节14天年假、拓展、节日慰问。,"职位描述：1、本科及以上学历，两年及以上工作经验。2、精通Java语法、对象容器的使用及Web应用的maven项目开发、Spring boot 项目开发；3、精通Linux系统操作及服务部署操作；4、精通mybatis框架开发；5、掌握freemarker模块引擎开发；6、掌握Spring,Spring MVC 框架（框架提供的特性及其实现原理）；7、掌握mysql数据库设计与操作，熟悉以下数据库（sqlserver/oracle/postgresql/MongoDB/redis等）中的至少一个；8、熟悉主流的Web服务器（tomcat/jetty等）；9、掌握html,css,javascript 技术，有react,vue,bootstrap,mui中的至少一个前端框架开发的经验;10、了解java  JVM原理 、 java JNA调用;11、了解java  awt,swing,javaFx编程技术;12、有较强的学习能力，能快速上手新技术,研究分享新技术;13、有独立开发完成项目的能力，同时也有良好的团队协作能力，愿意分享技术经验与帮助别人提高；14、工作踏实，对工作有兴趣，有积极性，自律性强;15、有良好的Java开发习惯，遵循Java规范；16、充分了解客户需求、与上级主管讨论设计数据库与项目结构，完成业务逻辑开发与页面展示；17、配合检测人员完成测试，直至项目部署上线，同时还需要撰写相关的开发技术文档； 工作地：闵行区"
高级java开发工程师,https://www.lagou.com/jobs/6494438.html,长宁区,20k-35k,杭州吾一网络科技有限公司,3-5年,本科,年底16-18薪,"工作职责1、快速适应工作流程,掌握业务流程.2、主导需求分析、概要设计、详细设计、排期，根据设计文档，进行产品编码，对其他同事code review3、负责软件模块的详细设计、编码和单元测试、按时完成任务4、对自己所开发的软件负责到底，对自己负责功能的相关事项主动推进，对可能的技术风险及时汇报5、主动与业务人员沟通，协助业务人员解决问题6、主导模块重构或项目重构任职要求1、 基本功扎实。熟悉Java SE和Java EE技术，掌握JVM运作机制，了解常见算法和设计模式2 、对框架熟悉。熟练使用SpringMVC、SpringCloud、Mybatis等框架,知道框架提供的能力,在需要的时候,可以做出正确的技术选型;看过框架源码,熟悉框架实现,可以解决框架相关的问题.3 、熟悉缓存、消息队列、任务调度、权限控制方面的技术，如redis、activemq、rocketmq、quartz、shiro. 至少掌握一种消息队列技术,清楚其常见的使用方式,优点与缺陷.4 、熟练使用常用数据库,如Oracle、MySQL、PostgreSql.掌握至少一种数据库的复杂查询,以及sql优化，5、 熟悉Linux环境以及操作，GIT、Maven的使用;6 、在之前的工作经历中，担任重要角色，为项目发展做出了重要贡献，主导过模块开发或者项目重构经历，2选其一。7、3-8年工作经验，技术关键词（必须出现）：JVM，Spring，Mybait，数据库"
资深Java开发工程师/架构师,https://www.lagou.com/jobs/6496226.html,徐汇区,22k-35k,青岛青西柚教育科技有限公司,5-10年,本科,福利待遇从优,"参与团队的技术管理开发工作，负责底层技术框架的搭建、拆分、优化工作。 1、5年以上JAVA相关工作经验，如果是架构级别的，必须有2年架构经验；2、精通面向对象的程序设计思想，掌握常用的程序设计模式和软件开发规范；3、熟练使用Spring,Spring boot,Spring Cloud 等系列开源框架；4、精通mysql，Mongo等数据库，对数据库优化有丰富经验；5、熟悉Nginx、Redis等应用,熟悉RPC解决方案；年龄超过35岁不考虑，五年三跳不考虑"
java,https://www.lagou.com/jobs/6491881.html,长宁区,15k-25k,武汉浩淘科技有限公司,1-3年,硕士,五险一金 A股上市,"职位描述：工作职责: -负责程序化广告平台系统的架构设计和研发工作，打造一流商业变现平台 -参与大型分布式广告检索引擎的架构设计和优化，提升服务可用性及可扩展性任职要求：职责要求 -计算机或相关专业，统招211,985本科以上学历。 -服务端系统设计开发经验，或有大型web系统研发经验优先 -数据结构和算法基础扎实，了解常用设计模式 -熟悉J2EE相关编程，熟练掌握Spring、Mybatis、mysql、消息队列等组件和框架 -具有较强的业务需求分析能力 -有互联网广告系统研发经验者优先 -有账号、计费、财务系统研发经验者优先"
高级java开发工程师,https://www.lagou.com/jobs/6489082.html,杨浦区,20k-40k,南京翼职盟教育科技有限公司,5-10年,本科,五险一金,"岗位职责：1.主要负责电商系统的系统规划、架构设计及开发工作，能结合需求设计高扩展性、高性能、安全、稳定、可靠的系统架构；2.能独立完成业务需求系统分析，以及技术可行性分析报告；3.组织研究行业产品的技术发展方向，制定技术发展战略规划；4.负责项目开发、测试、维护、升级、更新，解决开发中的技术问题；5.实施风险控制，对所负责领域的关键技术环节进行审查；6.对电商业务有较深的了解，能参与项目的分析设计，提出合理的建议。任职要求;1.本科及以上学历，计算机相关专业； 有4至6年以上电商行业相关经验, 熟悉商品、供应商、客服、结算、营销相关业务的优先；2.熟悉常见设计模式，精通dubbo/Spring/SpringMVC/Mybatis或其他主流JAVA框架，熟悉阿里云常用技术优先，edas、dubbo、polardb等，熟悉阿里云环境开发；3.熟悉互联网常用技术和中间件：分库分表技术、消息中间件、分布式框架；4.掌握分布式、延展性、可扩性架构设计，具备大流量、大访问量下的系统开发及优化经验者优先；5.踏实、有责任心，具有良好的团队合作精神和沟通能力，并有很强的学习能力；6.逻辑思路清晰，善于分析、归纳和解决问题，较强的创新能力，有良好的计划和执行能力。"
高级java开发工程师,https://www.lagou.com/jobs/6493521.html,杨浦区,20k-40k,青岛中恒汇峰信息科技管理有限公司,5-10年,本科,"五险一金,技术氛围好，薪资水平中上",1、负责互联网后端的研发，保障系统的稳定性和质量 2、与业务需求部门及项目经理沟通，理解需求，进行架构设计； 3、搭建开发框架、负责核心代码的编写，解决技术难点； 4、界定、分析和解决系统中存在的问题和缺陷； 5、对系统进行持续改进，提升系统的性能、可扩展性、可维护性；任职要求：1、计算机及相关专业本科以上学历，3年以上开发经验； 2、扎实的Java基础，熟悉Java的io、多线程、集合等基础框架，有良好的编码习惯，掌握面向对象设计原则，可熟练运用常见的设计模式 3、熟悉J2EE开发，熟悉常用分布式开源框架，如缓存，消息中间件，并了解原理和机制。 4、熟悉Oracle、Mysql等常见数据库； 5、有良好的沟通能力，善于思考，积极主动，乐于分享，团队精神佳，能承受工作压力，富有进取心与执行力 6、有互联网，在线电商、OTA等经验优先。
java开发工程师,https://www.lagou.com/jobs/6495020.html,长宁区,5k-10k,上海诺祺科技有限公司,1-3年,本科,带薪年假,1. 计算机本科1年相关专业，学习过VB开发语言、熟悉Java语言、了解JavaScript语言、了解HTML、了解SQL语言；2. 熟悉数据结构、了解常用算法、熟悉SVN、熟悉Excel、word和Outlook；3. 熟悉面向过程的程序设计思想；4. 熟悉面向对象的程序设计思想；5. 有良好的编程习惯；6. 有独立学习能力和基本的英文资料阅读能力；7. 善于沟通，逻辑清晰、表达准确；8. 有技术专研精神和团队合作精神；9. 具有一定的书面语言组织和表达能力；10. 能在一定压力下工作；11. 能中短期出差到外地工作；12. 为人正直诚信，能自觉维护公司利益。
java,https://www.lagou.com/jobs/6491510.html,徐汇区,25k-50k,武汉立民电子商务有限公司,3-5年,本科,福利待遇好,职位描述：1.负责用户/交易/直播等核心业务开发。 2.负责业务的架构、设计和优化，关注技术领域的最新成果。任职资格： 1.计算机及相关专业，本科及以上学历，2-5年Java研发经验； 2.精通Java开发，深入理解jvm原理，熟悉常用框架（Spring、Spring MVC、Mybatis）并能掌握它的原理和机制；3.对微服务架构组件有实践经验，关注并理解架构的高可用性与可扩展性。 4.了解常用RPC框架如SpringCloud、Dubbo等，了解常用消息中间件如Kafka、RabbitMQ。 5.具有较高的技术钻研能力、技术难点攻关能力，分析问题解决问题的能力。 6.对技术有激情，有较强的独立开发能力、主动的学习能力，良好的沟通表达能力和团队协作能力。
java研发（娃娃机）,https://www.lagou.com/jobs/6495669.html,浦东新区,12k-18k,上海魅伽网络科技有限公司,3-5年,大专,包午餐 全勤奖 地铁周边 国内外旅游,岗位职责：1. 负责公司在线抓娃娃客户端、后台管理系统、库房管理工具APP等服务端开发与迭代；3. 根据公司产品需要不断提高产品用户体验和更好实现业务目标；4. 能够独立分析解决系统疑难问题，如系统扩展、稳定等技术问题；5. 参与产品讨论和技术设计，与团队成员共同协作完成开发。任职要求：1、Java基础扎实，3年以上Java相关经验; 熟悉主流开源框架，如Spring、SpringMVC、MyBatis、Netty等，熟悉Redis、Mysql、Mongodb、mpush等主流开源组件；2、熟悉Linux操作系统，熟悉TCP/IP、HTTP等协议，掌握redis等缓存技术方案；熟悉SQL，具有一定的SQL优化能力；3、了解webSocket，有串口通信开发经验者优先；4、有互联网服务的落地经验，完整的发布过一个大型的产品并参与其迭代开发，有参与在线抓娃娃或直播APP项目经验者优先；5、执行力强，有良好的分析总结能力；能够有效识别痛点，并找到有效的解决方案；6、责任心强，易于沟通，做事积极主动者优先。
java开发工程师,https://www.lagou.com/jobs/6496107.html,嘉定区,8k-15k,上海驿乘信息科技有限公司,1-3年,大专,奖金、补贴、调薪、福利优,"岗位描述： 1、参与公司SAAS平台产品开发； 2、与其他同事共同完成产品系统的开发，维护，确保项目进度和质量； 3、根据项目计划，按时完成开发工作； 4、严格执行公司开发规范和品质要求；   岗位要求： 1、java基础扎实,至少两年以上java及WEB应用软件开发经验，两年以上系统开发设计经验；熟悉springcloud、springboot、ssm框架；（必需熟悉springcloud框架） 2、熟练掌握数据结构、多线程编程，掌握常用的设计模式；熟悉JVM，包括内存模型、类加载机制以及性能优化; 3、了解常见的中间件、分布式解决方案及其原理：分布式缓存、SOA、消息中间件，负载均衡、连接池等; 4、具有一定的分析问题和解决问题的能力，攻关疑难问题的强烈兴趣; 5、强烈的责任心和良好的团队合作精神，较好的沟通能力; 6、学习能力强，积极主动，拥有优秀的逻辑思维能力，具有电商行业经验、熟悉电商类系统平台中后台的开发经验优先。 7、具备较强的团队协作精神，能承受一定工作压力，工作责任心强，上进心和自我驱动力，良好的沟通能力和团队合作能力、理解能力。8、能接受出差。"
高级java开发工程师,https://www.lagou.com/jobs/6492556.html,黄浦区,15k-25k,杭州鑫烨科技有限公司,3-5年,本科,五险一金，双休,工作职责： 1、 负责交易接入中心等现货交易、融资融券、ETF申赎等功能模块的开发工作； 2、 负责相关技术文档编写工作； 3、 协助排查并解决系统研发和运营过程中的问题和技术难点； 技能要求： 1、本科以上学历，计算机相关专业； 2、精通Java并有较全的知识面，熟悉Spring、MyBatis等主流框架，具有3年以上相关开发经验； 3、踏实诚恳、责任心强，具备良好的沟通能力和学习能力； 4、熟悉Linux平台下常用命令操作、环境部署； 5、熟悉gRPC、protobuff、redis者优先； 6、熟悉数据库技术(MySQL/Oracle)，数据库优化及SQL优化。
Java开发工程师,https://www.lagou.com/jobs/6494630.html,徐汇区,11k-18k,上海明川商务咨询中心,3-5年,大专,福利多多，公司氛围好,岗位职责描述：- 根据需求金融核心业务系统开发工作- 配合系统架构师完成部分系统设计工作，并参与系统测试，完成文档的编写能力素质要求：- 具有较强的学习能力和钻研能力，能独立定位并解决系统问题- 有良好的团队合作能力，工作认真，细心，能吃苦耐劳，高效完成工作工作经验要求：- 大专及以上学历，3年以上工作经验- 有Java开发经验或前端开发经验- 了解Oracle、MySQL等主流数据库的开发和应用- 了解Java应用服务器如Weblogic、Tomcat，熟练使用Eclipse等开发工具- 熟悉金融应用系统框架- 具有支付系统开发经验优先，
java,https://www.lagou.com/jobs/6493704.html,浦东新区,15k-30k,绍兴冬荣纺织品有限公司,3-5年,本科,福利待遇丰厚,1、负责需求的设计开发，独立完成设计方案，指导他人进行开发工作。2、独立解决系统问题，参与系统性能优化，进行代码重构等工作。3、负责领域内较新技术方向的研究，转化。
java,https://www.lagou.com/jobs/6488884.html,黄浦区,8k-15k,九湃网络科技（上海）有限公司,1-3年,不限,年终分红，每年多次调薪,任职要求： 1.计算机科学与技术、软件工程、或其他计算机相关专业本科及以上学历； 2.1年-3年JAVA开发经验，且独立担任核心模块设计和开发工作； 3.熟悉Linux（CentOS/Ubuntu)工作环境； 4.精通Spring、MyBatis、Hibernate等框架的搭建和开发； 5.精通Spring Boot/Cloud等微服务框架，且有分布式项目的架构和开发经验； 6.精通Tomcat、Apache、Nginx 等web服务器的管理和调优； 7.精通MySQL、Redis、MongoDB等数据库的开发、管理和调优； 8.熟练使用RabbitMQ、Kafka等消息中间件； 9.熟悉基于微服务的分布式开发，及基于Docker的容器化部署（Docker Compose / Swarm Mode）  10.掌握多线程及高性能的设计与编码及性能调优；  11.了解WebSocket、长链接、NIO等技术；  12.擅长系统性能调优和疑难问题调试；  13.有高性能、高可用性分布式服务架构搭建经验优先；  14.有交易所、金融项目架构规划、设计相关经验者优先。
蚂蚁金服-Java技术专家-蚂蚁财富,https://www.lagou.com/jobs/6487655.html,浦东新区,25k-50k,支付宝（中国）网络技术有限公司,3-5年,本科,互联网金融,职位描述：1. 主导各类业务及技术改造类项目的系统分析与设计工作，承担核心功能代码编写，开发与维护系统公用核心模块；2. 系统性能优化，主导技术难题攻关，持续提升系统在大规模分布式系统环境下高并发、海量请求数下的高处理性能，解决各类潜在系统技术风险，保证系统的安全、稳定、快速运行；3. 负责指导、培训普通开发工程师，审核开发工程师的设计与研发质量。职位要求：1. 扎实的java编程基础，熟练单元测试技术和TDD，精通Java EE、SOA、OSGI等相关技术；对各种开源的框架如Spring、Hibernate、iBatis等有深入的了解，对框架本身有过开发或重构者可优先考虑；2. 三年以上大型数据库如oracle使用经验，3年以上大规模高并发访问的Web应用系统设计和开发经验；3. 熟练掌握unix/linux操作系统，对常用命令运用娴熟，能够根据实际需要快速编写shell脚本；4. 具备良好的识别和设计通用框架及模块的能力，熟悉UML；5. 较强的表达和沟通能力，工作认真、严谨、敬业，对系统质量有近乎苛刻的要求意识。 有很强的分析问题和解决问题的能力，有强烈的责任心。加分项：1. 熟悉分布式. 多线程及高性能的设计与编码及性能调优；2. 熟悉电子商务、金融行业相关业务，并具备核心系统设计与研发经验的优先考虑；3. 熟悉互联网营销，有数据产品实践经验的优先。
java开发工程师,https://www.lagou.com/jobs/4908493.html,徐汇区,18k-30k,上海汇付数据服务有限公司,5-10年,本科,"团队好,绩效奖金,环境好,氛围好",职责描述：1）第三方支付行业的新产品、新技术研究；2）立项产品的需求分析、方案设计、代码编写与维护；3）系统重构及相关代码编写。职位要求：1）大学本科学历，计算机、软件工程及相关专业；2）精通Java语言、J2EE相关框架，5年以上开发经验；3）扎实的算法、数据结构、数据库等基础；4）良好的沟通能力和团队合作能力，较强的学习和理解能力，能独立分析和解决问题。
java开发工程师,https://www.lagou.com/jobs/5896196.html,长宁区,12k-18k,上海百秋电子商务有限公司,1-3年,本科,电商,【岗位职责】1. 熟悉微信平台相关开发规则； 2. 负责微信体系相关的应用系统设计和编码工作；3. 负责微信体系相关的数据管理、日常维护和其他后台维护管理工作；4. 负责与ERP系统对接集成工作；5. 负责微服务系统设计、文档编写和功能实现6. 负责微服务支撑的基础业务的设计和实现7. 负责对基础平台的服务做优化和完善【岗位要求】1. 具有分布式、大流量系统，具有大型分布式、高并发、高负载、高可用、强一致性系统设计开发经验2. 5年以上Java经验，2年以上（或特别熟悉）SpringCloud微服务开发部署调优经验3. 熟悉基于Spring boot、Spring Cloud的微服务架构，能够出具完善的应用实施解决方案；4. 扎实的java编程基础， 熟练使用Java EE、SOA、OSGI、线程等相关技术；5. 对各种开源的框架如Spring、mybatis、spring boot、spring cloud等有深入的了解，对框架本身有过开发或重构者可优先考虑；6. 熟悉Redis、Mysql调优者优先7. 有大数据量、高并发系统设计经验者优先；8. 熟悉Linux系统调优者优先9. 有电商行业研发经验者，特别是交易流程、订单、库存、价格、折扣相关经验者优先。
Java开发工程师,https://www.lagou.com/jobs/5571598.html,普陀区,20k-40k,上海喔噻互联网科技有限公司,3-5年,本科,"平台大,牛人多,福利好","1、负责收钱吧相关的后台服务2、配合前端开发人员实现产品功能3、参与系统需求调研与分析、详细设计任职资格：1、2年及以上服务器端开发经验2、精通Java语言，对于面向对象模型和设计模式有清晰的认识，了解常用设计模式；3、熟练掌握网络通信原理，熟悉服务器端，数据端的主流技术或框架，熟悉Spring Boot、SpringMVC或netty等框架，熟悉自动单元测试框架；4、熟练掌握mysql或mongodb数据库，了解分布式事务控制；5、了解工作流，分布式服务架构等技术优先, 有高并发，高性能WEB开发经验者优先；6、有较强的责任心、有较强的学习能力，对技术方案和代码质量有追求；7、具有良好的沟通、团队协作及一定的抗压能力，做事精益求精加分项：1、熟悉任意一门前端框架（Angular.js/Backbone/Ember）2、有Go语言的开发经验者优先"
资深Java开发工程师,https://www.lagou.com/jobs/2445577.html,,20k-30k,上海阑途信息技术有限公司,3-5年,本科,"工作氛围好,发展空间大",【 资深后台工程师 】 职位描述： 1. 负责途虎基础组件和平台功能的研发、部署和管理。2. 不断提升系统稳定度，提升系统可用性、可扩展性和安全性。3. 与其它优秀的技术团队和部门合作，共同进行新技术研究和测试。  职位要求： 1. 计算机相关专业，本科或以上学历。2. 3年以上C#/Java等后台语言编程经验。3. 具备极强的编程能力与面向对象分析与设计能力。4. 熟悉MySQL、Redis、MongoDB等数据存储，和性能优化。5. 在计算机技术领域拥有扎实的技术功底，尤其在操作系统、TCP网络协议、网站架构方面。6. 优秀的逻辑思维能力，善于分析问题找到解决方案。7. <span clas
高级java开发工程师,https://www.lagou.com/jobs/6412528.html,长宁区,25k-33k,秒针信息技术有限公司,3-5年,本科,行业TOP;团队氛围，晋升空间；福利待遇,岗位职责1、独立完成项目的系统分析、设计；2、完成核心代码的编写，确保技术方案能够按计划要求，高质量的完成；3、指导帮助初、中级工程师解决技术问题及技术分享；4、负责编写项目项目技术文档；任职要求1、2年以上互联网电商项目经验；2、Java基础扎实，深入了解JVM，多线程；3、深入了解dubbo、springboot 、springcloud，读过框架源码；4、熟练使用MyBatis，springmvc；5、对分布式架构深入了解，熟悉缓存，消息，负载均衡等级制；6、熟练常用的中间件，Redis、ZooKeeper、ActiveMAQ、Kafka；7、熟练使用Tomcat、jetty等应用服务器，并能对应用服务器进行参数调优；8、熟悉MySQL的配置，维护，性能优化；9、对分库分表有操作经验；10、能够熟练操作Nginx、Linux系统，使用过腾讯云服务器者优先；
中级Java开发工程师,https://www.lagou.com/jobs/3103886.html,闵行区,15k-20k,上海阑途信息技术有限公司,3-5年,本科,"扁平化管理,晋升空间大,公司氛围好",职位描述：1. 参与公司网站产品/移动端产品/平台产品的设计、开发以及日常升级；2. 独立负责解决开发过程中的技术问题、负责至少一个模块单元的设计、开发；3. 确保所负责产品系统的安全稳定运行，及时响应和排除线上故障；职位要求：1. 大学本科以上学历（毕业于211或985大学优先）2. 3年以上使用Java进行web开发的经验(负责过千万以上日请求量项目者优先)；3. 精通Java平台的常用的开发技术与框架；4. 熟悉数据库事务和查询性能调优；5. 熟悉Redis，Zookeeper，MQ，ElasticSearch等工具；6. 良好的业务理解和沟通能力；7. 热爱技术，学习能力强，并懂得分享（做过开源项目优先）；8. 良好的编码习惯和安全编程意识；9. 认真仔细、主动、严谨的工作态度；
高级Java开发工程师/技术专家,https://www.lagou.com/jobs/4948674.html,浦东新区,25k-40k,支付宝（杭州）信息技术有限公司,5-10年,本科,"千万级规模,数据驱动,期权激励","蚂蚁金服-技术风险部（技术风险，负责系统的高可用与资损防控） 1、 负责蚂蚁金服所有应用的故障发现、故障应急、演练等技术风险领域的功能研发；  2、 负责蚂蚁金服所有变更的技术风险，对所有技术风险故障负责；  3、 参与蚂蚁金服重大项目（比如双11，双12）和产品（比如余额宝）的设计过程，对技术风险领域进行评审和分析； 4、 负责技术风险平台应用架构设计和系统实施，使系统体系化并具有前瞻性，能快速发现业务风险和及时管控；独立完成大型项目的系统分析设计，并负责核心模块研发； 负责完成系统Code Review的任务，确保相关代码的有效性和正确性，并能够通过Code Review提供相关性能以及安全的建议；    职位要求： 
 扎实的计算机专业基础，包括算法和数据结构，操作系统，计算机网络，计算机体系结构，数据库等；
 扎实的 Java基础，良好的编程素养，对代码有美感和极致的追求；
 熟悉分布式环境开发，消息中间件，RPC。
 理解实时流计算（ Spark/Storm/Flink ）或海量数据处理（ Hadoop/HBase/Hive ）相关经验优先考虑；
 掌握机器学习、数据挖掘或深度学习的原理和相关算法优先考虑；
 强烈的技术热情和工作责任感，热衷于创新和分享，逻辑清晰并具备批判性思维能力和习惯；"
Java开发工程师（平台开发）,https://www.lagou.com/jobs/5319658.html,普陀区,15k-30k,上海喔噻互联网科技有限公司,3-5年,本科,平台大，福利好，牛人多，晋升机会,"1、负责开放平台的系统架构、维护及开发2、制定开发计划并能够分析解决软件开发过程中的问题。3、能独立进行应用核心代码开发，单元测试，技术文档编写；4、规范文档的编写、维护，以及其他与项目相关工作；任职资格：1、精通 Java 语言，对于面向对象模型和设计模式有清晰的认识，对多线程编程有一定的了解；2、熟悉服务器端主流技术或框架，熟悉 Spring(Boot) 或 netty 等框架；3、熟悉 MySQL 或 MongoDB 数据库, 对常见的队列、缓存等技术有一定研究认识, 有高并发服务开发, 调优经验者优先；4、有较强的责任心、有较强的学习能力，对技术方案和代码质量有追求；5、具有良好的沟通、团队协作及一定的抗压能力，做事精益求精加分项1、对Linux系统有深入了解，了解系统底层模型如IO,进程模型等2、 对分布式，微服务等前沿领域有研究3、 Github 有项目超过 100 star ，或给大型项目贡献过代码4、 熟悉包括但不限于node、go、python等常用开发语言5、 对技术有强烈的进取心，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力。"
26113K-JAVA开发工程师,https://www.lagou.com/jobs/5437684.html,浦东新区,20k-30k,平安国际融资租赁有限公司,3-5年,本科,"五险一金,免费班车,带薪年假",
261142-JAVA开发工程师（移动后台）,https://www.lagou.com/jobs/5558056.html,浦东新区,15k-25k,平安国际融资租赁有限公司,5-10年,本科,"五险一金,带薪年假,定期体检,免费班车",
java开发工程师,https://www.lagou.com/jobs/6360969.html,浦东新区,11k-18k,深圳市博悦科创科技有限公司,3-5年,本科,"五险一金,双休,年终奖,年度旅游",1、本科， 计算机或软件相关专业2、3-5年左右工作经验 3、良好的软件编程思路、表达清晰4、良好的java技术，并熟练掌握java常用技术框架 5、熟悉常用设计模式6、热爱互联网技术，具有较强的团队协作能力，能够配合团队其他成员，高效地完成开发工作工作内容：1、完成软件系统代码的实现，编写代码注释和开发文档2、辅助进行系统的功能定义程序设计3、根据设计文档或需求说明完成代码编写，调试，测试和维护4、分析并解决软件开发过程中的问题5、协助测试工程师制定测试计划，定位发现的问题配合项目经理完成相关任务目标
java开发工程师,https://www.lagou.com/jobs/6360969.html,浦东新区,11k-18k,深圳市博悦科创科技有限公司,3-5年,本科,"五险一金,双休,年终奖,年度旅游",1、本科， 计算机或软件相关专业2、3-5年左右工作经验 3、良好的软件编程思路、表达清晰4、良好的java技术，并熟练掌握java常用技术框架 5、熟悉常用设计模式6、热爱互联网技术，具有较强的团队协作能力，能够配合团队其他成员，高效地完成开发工作工作内容：1、完成软件系统代码的实现，编写代码注释和开发文档2、辅助进行系统的功能定义程序设计3、根据设计文档或需求说明完成代码编写，调试，测试和维护4、分析并解决软件开发过程中的问题5、协助测试工程师制定测试计划，定位发现的问题配合项目经理完成相关任务目标
Java研发工程师（基础财务方向）,https://www.lagou.com/jobs/5667499.html,黄浦区,25k-40k,贝壳找房（北京）科技有限公司,5-10年,本科,"15薪,大平台",工作职责:1. 负责集团财务方向系统的设计与开发；2. 与系统相关的第三方系统进行对接；3. 生产环境的故障与bug的排查解决，保障系统的可靠性和稳定性；4. 给经验尚浅的同事指导;任职资格:1. 本科以上学历，五年以上工作经验；2. 精通Java，熟练使用Spring框架，熟悉SpringBoot/SpringCloud；3. 熟练使用MySQL，并有性能调优的实战经验4. 不惧挑战，敢于颠覆昨天的自己5. 足够职业化，能理解为什么要向上负责6. 理解团队协作和跨团队协作，跨工种合作7. 具备独立解决疑难杂症的能力和经验8. 强烈的主动性和责任心加分项：1. 有过大型财务、支付、资金等相关系统架构设计经验2. 对数据安全性，数据一致性有实战经验
java开发工程师,https://www.lagou.com/jobs/6220537.html,浦东新区,14k-24k,奥解思信息科技（上海）有限公司,1-3年,本科,福利好，弹性工作制，培训机会多,1、2年以上Java开发经验，良好的基于Java系统设计和开发相关经验。2、本科及本科以上计算机相关专业3、熟悉JAVA(核心JAVA、多线程、Spring、Restful服务)4、熟悉Maven、GIT、Hudson、JUnit等类似技术。5、数据库- Oracle或具有SQL、PL/SQL编程经验。6、unix /Linux脚本编写技巧(Korn shell)7、具有Mongo DB经验，会Spark优先考虑8、有消息服务(JMS、Tibco EMS)和Websphere application server方面经验优先。9、英语优秀优先考虑。
java开发,https://www.lagou.com/jobs/5798147.html,闵行区,20k-35k,上海泛微网络科技股份有限公司,3-5年,本科,免费三餐、补贴福利，双休+法定节假日。,"岗位职责：1、负责公司产品的功能规划、需求分析设计、技术实现和用户体验；2、负责所属模块的代码开发、调试与维护工作；3、积极响应客户需求并进行开发/定制化开发和交付；4、参与公司产品的架构优化，性能优化并辅助其他模块进行技术实现；5、协助并完成其他各类技术开发任务。任职资格：1、计算机或者相关专业，统招全日制本科及以上学历；2、良好的问题理解能力，能够理解以及处理复杂逻辑；3、具备较强的自学能力，团队精神及抗压能力；4、3年以上的Java开发及应用经验，掌握JSDK，J2EE的相关知识，精通JAVA、JSP、SERVERLET编程，熟悉多线程编程，熟练掌握AJAX，jquery；5 、熟练掌握JAVASCRIPT脚本编写，了解XML，XSLT, CSS的相关知识；6 、掌握数据库的相关知识，熟悉SQLSERVER及ORACLE，具备SQL、触发器、函数、存储过程的编写能力；7、具有一定的文档编写能力，了解UML；8、熟悉基本网络设置，能够应用多种操作系统，WINDOWS，LINUX等，熟悉RESIN，TOMCAT等中间件的使用。"
