职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
Java（ZJ）,https://www.lagou.com/jobs/6495888.html,闵行区,15k-18k,上海华钦信息科技股份有限公司,5-10年,本科,六险一金 带薪年假 免费提供午餐,"岗位职责：1、参与公司产品业务线的需求讨论,详细设计以及技术研发工作2、遵守项目管理流程和规范，及时有质量的交付工作任务。3、持续完善系统功能，确保系统的性能、质量和安全4、对线上系统稳定性、可用性负责 任职要求：1、计算机相关专业本科及以上学历，拥有5年以上Java开发经验2、熟悉Spring/Spring Boot、MyBatis等开发框架3、Java基础较扎实4、熟悉常用工程工具：Maven、Git等5、了解MySQL数据库6、熟悉软件开发过程(如SCRUM)，能够沟通需求、控制项目进度，有良好的文档能力7、有互联网的背景项目经验优先"
JAVA工程师,https://www.lagou.com/jobs/6494372.html,闵行区,12k-18k,华住酒店管理有限公司,3-5年,大专,领导好，有发展前景,
java工程师（外派）,https://www.lagou.com/jobs/6493207.html,浦东新区,10k-15k,上海安畅网络科技股份有限公司,1-3年,大专,"平台好,弹性工作,年度旅游,老板OK",任职要求：1、2年以上工作经验，JAVA基础扎实，包括IO、多线程、集合、并发、网络等2、熟练掌握Java的各种开源框架如Spring、 SpringBoot、Mybatis、dubbo等3、熟练掌握Maven、Git等包管理和代码管理工具4、熟悉mysql数据库，熟悉缓存数据库如Redis；
JAVA开发工程师,https://www.lagou.com/jobs/6492070.html,静安区,12k-16k,上海云扩信息科技有限公司,3-5年,本科,带薪年假 领导大牛 下午茶零食 免费体检,工作要求1.熟悉和掌握阿里云产品基本使用2.熟悉阿里云API文档基于API文档编写测试场景和测试用例3.结合测试场景编写shell脚本调用aliyuncli工具4.根据测试场景和运维需求结合API编写相应脚本5.熟悉阿里云的java sdk和python sdk的使用技能要求1.熟练掌握bash脚本的编写2.熟悉java和python等开发语言3.熟悉云产品有使用经验的优先注：英语需过四级，至少3年开发经验，计算机相关专业
资深java研发工程师,https://www.lagou.com/jobs/6137229.html,浦东新区,35k-55k,四川伊澳农业科技有限公司,3-5年,本科,"美女多,即将上市,有期权,大牛多","职位描述：工作职责：1、负责电商核心业务系统架构设计及优化，进行系统改造和升级 2、优化电商交易平台架构，电商基础平台和通用组件，提升开发效率 3、负责性能优化、问题定位、迎接复杂业务挑战任职资格：正规院校本科或以上学历，计算机软件或相关专业，三年以上Java项目开发经验。Java基础扎实、理解JVM原理、有多线程、高并发系统开发经验的优先考虑 1、 熟悉主流开源应用框架，如Spring、struts、myBatis、hibernate、velocity、XML、JSON、Maven等开发技术 2、 熟悉关系型数据库MySQL、 Oracle等，以及相应数据库调优、SQL优化 3、 熟悉Redis、SSDB,HBase,Elasticsearch,MongoDB等4、 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现 5、热爱技术，对技术有不懈的追求，喜欢研究开源代码备注：外资背景，五险一金全额缴纳，周末双休，弹性上班，不打卡，早9晚6或者早10晚7，10:30以前到岗都不算迟到，公司有食堂，免费提供三餐，零食下午茶，每月有团建、年度旅游，带薪年假15天，之后每年+1天，试用期3个月，交通补助2000元/月，每月有1天带薪病假，当月有效目前公司规模：2000人以上，三年内扩招到5000人；互联网技术团队200人+"
java开发工程师,https://www.lagou.com/jobs/6348119.html,徐汇区,15k-30k,星环信息科技（上海）有限公司,不限,本科,六险一金 双休 补充公积金,1、扎实的Java语言编程能力2、出色的troubleshooting能力（特别是在分布式环境下）3、工作积极主动，自我驱动能力强4、熟悉Hadoop组件的配置和监控5、熟悉Java后端框架Spring和Hibernate者优先6、熟悉AKKA者优先7、熟悉Ganglia和Nagios者优先
java开发工程师,https://www.lagou.com/jobs/6093903.html,徐汇区,10k-18k,上海唯都市场营销策划股份有限公司,3-5年,本科,500强企业项目，500强企业园区,"工作内容：1.负责知名品牌的网站，微信公众号、小程序及CRM系统的开发和运维2.理解业务需求，设计系统功能并实施3.负责公司内部开发框架的编写和完善工作任职要求：1.计算机及相关专业本科以上，1年以上Java开发经验2.JAVA基础扎实，精通io、多线程、集合等基础框架，熟悉常用的设计模式3.熟悉流行的开发框架：Spring MVC/struts2、Hibernate/Ibatis（myBatis）、Spring等4.对大型的分布式系统架构有很深入的理解，在SOA架构和应用架构上丰富经验，能够解决各种系统架构问题5.熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现；擅长性能调优者优先6.熟悉RabbitMQ, Redis, ElasticSearch等流行技术框架工具者优先"
高级Java开发工程师,https://www.lagou.com/jobs/2628481.html,闵行区,20k-35k,上海阑途信息技术有限公司,5-10年,本科,汽车、新零售、腾讯投资、独角兽,"岗位职责：负责途虎智慧零售业务/车主业务/金融平台/支付平台核心模块的设计与开发保证系统稳定运行的同时持续优化, 以支撑上层业务的快速发展任职要求：计算机相关专业, 大学本科以上学历,　 2年以上互联网行业Java开发经验扎实的基础知识: 对常用的数据结构,  java语言核心特性有深入理解深入了解spring, mybatis等java平台常用的技术与开发框架，理解其实现原理了解java平台常用的中间件, 如：redis, rabbitmq, zookeeper, ELK,dubbo,mysql等对分布式,  高可用，高性能的系统设计与编码有基本认识良好的业务理解和沟通能力，热爱技术和学习, 较强自驱力(养老心态的忽扰)参与过大型互联网金融平台或第三方支付平台核心模块的开发， 或熟悉支付清结算业务者优先培养方向业务架构师方向Java专家方向技术经理方向"
java开发工程师,https://www.lagou.com/jobs/6489873.html,浦东新区,9k-16k,广州德惟科技有限公司,1-3年,不限,周末双休，年终奖金，五险一金,"岗位职责：1、参与传输、数据和接入域的网络资源数据模型设计实现;2、数据采集系统核心代码编写，疑难问题解决;3、负责采集和分析客户现网资源数据;4、参与组建和维护客户现网模拟环境;5、为团队引入创新的技术、创新的解决方案，用创新的思路解决问题;任职资格：1. 通信工程、计算机相关专业，2年以上Java开发经验2. 熟悉主流框架的使用方法，包括Spring, Spring boot/cloud, Mybatis, Quartz等3. 熟悉ORACLE/MySQL等数据库设计和开发，有SQL性能分析、调优的能力3. 熟悉各协议（例如SNMP, CORBA, MTOSI, TL1等）接入、无线接入网组网和IP/MPLS路由器配置4. 熟悉Linux，能使用包括Shell和日常维护命令5. 熟悉企业应用设计模式，面向对象的分析和设计技术，包括设计模式、UML建模等。"
Java,https://www.lagou.com/jobs/6490465.html,虹口区,20k-40k,前锦网络信息技术（上海）有限公司北京分公司,5-10年,本科,6险2金,1、五年以上JAVA研发经验，有大型分布式并发系统、高并发项目研发经验。2、2年以上7人以上团队管理经验。3、精通多线程开发和性能调优，对于高并发分布式系统有自己的见解。4、熟练掌握设计模式，有过微服务架构设计经验。5、对于业务架构有一定的认识与实践。有支付、金融行业背景。6、熟练掌握HTTP、Socket、RPC等接口开发技术，熟练掌握Linux服务器使用;7、具有较好的文档编写能力和设计能力。8、有很强的学习能力，工作主动性强，耐心细致，责任心强；能承受一定压力，有良好的沟通协调能力与团队合作精神；
