职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
PYTHON开发工程师 资深SH,https://www.lagou.com/jobs/6326911.html,黄浦区,20k-36k,上海茗日智能科技有限公司,3-5年,本科,人工智能、前沿科技、技术大牛、五险一金,"任职要求:1、二类本科以上学历；2、英语六级以上水平；3、精通Python语言，具有扎实的计算机基础和编程能力，熟悉常见的算法与数据结构，具有优秀的逻辑思维能力。4、熟悉Tornado框架开发, 熟悉HTTP与Websocket协议, 熟练掌握MySQL等主流数据库。5、熟悉Linux、Git、Web开发流程, 熟悉RESTful API设计，有过互联网业务系统或相关技术产品开发经验。6、有良好的编程风格，能够书写规范、优质的代码。7、自我学习能力强，有较强的工作责任心和良好的沟通协调能力，能够快速定位问题并高效解决问题。8、加分项：即时通信系统、智能对话系统、服务平台化相关开发经验。我们是谁：- 我们是一家尚处于Stealth mode的初创企业。- 我们使用人工智能来打造真正有价值的服务，详细看法见《人工智障2:你看到的AI与智能无关》 https://mp.weixin.qq.com/s/tFcVohNjdhvBE_INQk9muQ （所有岗位申请者必看，未看勿投，以节约彼此时间）- 我们即将进入高速增长期，希望能招募彼此认同的团队成员来加速这个过程。我们的客户：- 我们在和世界100强的跨国企业共同打造下一代的智能化服务。- 他们是在各自行业里最顶尖的品牌和企业，已披露的商用客户包括宝马集团和Visa。- 这些顶尖的品牌正在面向未来设计智能化的服务，我们很高兴能成为其中的关键队友。你会得到：1、参与世界顶尖品牌最前沿的智能化项目的经验，类似“xx的第一个人工智能服务”。2、与这些顶尖企业的创新部门和前沿研发部门，组成联合团队共同探索跨时代的产品。3、通过你的产品设计或代码直接影响那些大品牌的终端用户群。4、获得大量的可供迅速成长的空间。如果你对我们感兴趣：1、烦请确认你符合上述【任职要求】的必须项；2、请在联系我们前，仔细阅读【公司介绍】；"
高级python开发工程师-SH415-41509,https://www.lagou.com/jobs/4120720.html,黄浦区,20k-40k,上海点融信息科技有限责任公司,3-5年,本科,"前景好,福利好",岗位职责1、参与公司内部工具开发2、参与公司内部Web系统的开发和维护3、基于Web的API接口开发岗位要求1、编程基础扎实，良好的计算机理论基础；2、两年以上使用 Python 开发经验3、具有出色的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题4、对技术充满热情，自我驱动，quick learner，自信面对未知挑战5、熟练使用 Flask & Sqlalchemy & Celery & RabbitMQ，能够实现高质量的后端6、熟练使用 Javascript & CSS & HTML，利用前端框架（如 vue、react等）高效&可靠的实现产品需求。
python爬虫,https://www.lagou.com/jobs/6421337.html,虹口区,10k-20k,上海纳纳科技有限公司,1-3年,本科,平台好 业务稳 氛围好 福利多,职位描述：1、参与爬虫项目的架构设计、研发、编程工作，改进和提升爬虫效率；2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3、负责后台爬虫数据的分布式存储设计以及代码实现；4、负责网页采集任务的分析及采集方案设计；5、负责分布式爬虫策略持续优化。任职要求：1、熟悉多线程、网络编程，精通网页抓取原理及技术的实现细节；2、熟悉基于规则的网页信息抽取，精通正则表达式；3、从结构化的和非结构化的数据中获取信息，对网页数据抓取、信息提取、去重、清洗有一定经验；4、了解分布式计算和储存技术以及相关原理；5、热爱互联网，对搜索技术和探索未知领域有浓厚兴趣。
python 高级开发工程师,https://www.lagou.com/jobs/5286580.html,浦东新区,20k-35k,上海基分文化传播有限公司,不限,本科,行业独角兽,"岗位职责：1.负责音视频/视觉相关算法工程化项目的后端开发、日常维护2.产品架构、性能、安全、扩展等优化的设计和实现任职要求：1、本科及以上学历，计算机、通信等相关专业；2、有扎实的编程能力，有优秀的设计和代码品位；3、深刻理解计算机原理,有良好的数据结构和算法基础；4  熟悉 flask / kafka/ postgresql / mongodb 等技术栈5  热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新技术6  积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力7  有图像处理/视觉开发项目经验者优先"
爬取工程师（Python）,https://www.lagou.com/jobs/6418461.html,浦东新区,20k-30k,上海贝耳塔信息技术有限公司,3-5年,本科,股票期权 丰厚奖金 五险二金 金融科技,"岗位职责：1、负责针对垂直行业资讯和数据的抓取，全网数据抓取及数据架构设计等核心工作，包括爬取、结构化提取和内容分析等相关功能；2、参与数据层建设，专注于抓取平台建设和行业垂直领域数据爬取、清洗、分析、归纳并负责核心编码实现；3、负责抓取策略设计、更新和维护；4、负责设计和开发网络爬取，解决实际开发过程碰到的各类问题。 任职要求：1、本科及以上学历，3年及以上大数据开发经验，软件工程/计算机/通信/数学等相关专业；2、熟悉Python语言，熟悉Linux系统、Shell等脚本语言；3、熟练掌握主流开源爬虫框架，如Scrapy等，有分布式爬虫架构经验者优先；4、熟练掌握数据库存储（如：MySQL或SqlServer），缓存（如：Redis ），具备数据库设计和优化能力；5、熟悉tcp/ip, http, xml，json等网络标准/协议，熟悉动态页面渲染技术和页面结构化抽取技术；6、有大型爬虫系统设计和实现经验，对爬虫、网页分析、反爬虫策略调优有丰富经验。"
Django/Python/后端开发,https://www.lagou.com/jobs/1565393.html,静安区,20k-35k,耘智信息科技（上海）有限公司,3-5年,本科,发展前景好、学习发展快,"We’re looking for Backend Engineer talent, who can write well-written code, to develop the brain of Seedlink’s product. Working with data science researchers, you’ll invent and implement algorithms, systems and machine learning models to analyze big data. The systems you develop will be exposed to clients via REST API. You will have the chance to provide input on architecture, design, and project execution, building a data-centric application using modern REST APIs.Responsibilities• Design, write and test new features• Measure, diagnose and improve API performance and availability• Work with the team for planning and road-mapping• Work independently and proactively solve issues and bugsRequirements• 3+ years of practical experience in Backend Web Development• Bachelor’s/Master’s Degree in Computer Science, Engineering or equivalent industry• Experienced in usingo HTTP/ REST/ JSON APIso PostgreSQL/ MySQLo Python/ Djangoo Linux (Ubuntu)o Version Control: Git• Broad and deep knowledge of web technologies, methodologies and standards• Strong software development and application architecture experience• A self-starter who enjoys working in a team• Good English language skillsNice To Have• Experienced in Web Service Scaling• Experienced in building Enterprise Architecture & highly scalable website• Experienced in Panda, Numpy, Scipy• Aliyun/ Amazon Web Service"
Python数据开发工程师,https://www.lagou.com/jobs/6096855.html,普陀区,15k-30k,上海牛咖信息科技有限公司,3-5年,本科,"领导逗比,氛围欢乐,扁平结构,绩效奖金","岗位职责：1. 参与/负责数据仓库ETL（数据抽取、加载、清洗、转换）处理任务的设计和开发工作；2. 参与/负责数据报表的设计和开发工作；3. 参与/支持相关BI业务分析的开发和实施工作；4. 精通Python/Go开发语言；5. 参与/支持BI后台页面开发;任职要求：1. 计算机、统计学、数学、应用数学相关专业优先；2. 善长多核并行开发;3.掌握数据库基本知识,对数据库底层结构有较深理解和认知；4.善长MongoDB、Mysql、Redis等数据库地使用,具有数据模型设计的能力；5.精通SQL语句编写,并具备优化能力；6.熟悉Linux操作系统常用命令；7.有Hadoop、Spark等海量数据处理工具的工作经验优先；8.有ClickHouse的使用经验优先；9.工作严谨细致,有责任心,勤奋踏实,善于思考问题,具有团队合作精神，能承受一定的工作压力。"
python开发经理,https://www.lagou.com/jobs/6217857.html,杨浦区,25k-37k,学识堂科技（上海）有限公司,5-10年,本科,发展空间大，下午茶,"岗位职责： 1.系统需求分析与设计，核心模块的开发工作； 2.根据开发进度和任务分配，完成相应模块的开发、编程、测试任务，解决关键问题和寻找技术方案 职位要求:1.本科以上学历，四年以上编程经验; 有过项目管理或者人员管理经理2.精通python语言, 有扎实的编码能力，深入理解任一python框架； 3.熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB) 4.熟悉python扩展模块； 5.有独立分析和解决问题的能力，有良好的团队合作精神"
大数据开发工程师（python）,https://www.lagou.com/jobs/6419008.html,浦东新区,30k-35k,上海贝耳塔信息技术有限公司,3-5年,本科,股票期权 年终奖 五险二金 前沿科技,岗位职责：1、负责用户行为分析、客户画像、智能推荐等相关大数据分析及运算开发；2、负责大数据分析体系的规划、设计和建设；3、收集、整理、分析、统计各类数据指标；4、负责大数据分析、自然语言处理、机器学习探索和实现； 任职要求：1、本科及以上学历，3年及以上大数据开发经验，软件工程/计算机/通信/数学等相关专业；2、能熟练使用 python脚本语言开发；3、熟悉Oracle、Sqlserver、Postgre等关系型数据库；4、有hadoop、spark、flink等至少一种大数据平台的使用经验；5、有用户行为分析、客户画像、智能推荐、数据仓库建设、商业数据分析、增长项目经验者优先。6、具备较强的表达能力和抽象总结能力，具备极强的逻辑思维能力；7、有自然语言处理、机器学习经验者优先；
后端开发工程师（Python）,https://www.lagou.com/jobs/5112899.html,杨浦区,15k-25k,上海树融数据科技有限公司,1-3年,本科,"扁平化管理,学习氛围,平衡快乐",职位描述：1、参与公司产品的功能规划、需求分析设计、技术实现和用户体验；2、负责所属模块的代码开发、调试与维护工作；3、参与公司产品的架构优化，性能优化并辅助其他模块进行技术实现；4、协助并完成其他各类技术开发任务。职位要求：1、计算机或者相关专业，统招全日制本科及以上学历，2年以上开发经验；2、熟悉计算机网络原理，了解Web Services工作原理；3、精通Python或Java等开发语言；4、掌握数据库的相关知识，熟悉Mongodb与PostgreSQL;5、具有一定的文档编写能力，良好的问题理解能力，能够理解以及处理复杂逻辑。
Python图像处理开发工程师,https://www.lagou.com/jobs/4091204.html,徐汇区,15k-25k,上海卫莎网络科技有限公司,1-3年,本科,"AI,扁平化,弹性工作制,交通方便",工作职责：1.      承担服务器后端图像处理服务的设计与开发。2.      负责后端图像处理服务的开发、部署和维护。 任职要求：1.      本科及以上学历，信号与信息处理、图像处理、计算机等相关专业2.      2年以上从事图像/视频处理服务设计开发与服务器部署经验3.      具备数字图像处理的基础理论和常用算法知识，良好的数学功底4.      精通掌握Python语言，熟悉OpenCV等主流图像算法库。5.      理解Linux系统，熟悉Docker等容器技术，能熟练部署Web服务。6.      具备良好的识别和设计通用框架和模块的能力。7.      熟悉分布式、多线程、异步及高性能设计，会性能调优。8.      有很强的分析问题和解决问题的能力，强烈的责任感。9.      有良好的团队合作精神和表达沟通能力。10.   宽泛的技术视野，创造性思维，富有想象力。Versa是什么？“马卡龙”是APP Store的2018最佳APP。零门槛的图片算法创作工具。 Versa可以做什么？掌上PS，掌上AE，实时发丝级人物抠像。 谁创造了Versa？格瓦拉产品合伙人CEO蔡天懿，华为芯片算法科学家CTO赵维杰共同创立。 谁在支持Versa？各轮次融资方分别为：真格、红杉、腾讯。Versa的福利有多好？今年年会，我们全员（还带着所有实习生）去布拉格玩了一整周。
Python开发经理,https://www.lagou.com/jobs/6473627.html,杨浦区,25k-30k,上海树融数据科技有限公司,3-5年,本科,"扁平化管理,快速成长,与大牛公事",岗位职责： 1、系统需求分析与设计，核心模块的开发工作；2、根据开发进度和任务分配，完成相应模块的开发、编程、测试任务；3、指导初级开发同事工作，解决关键问题、寻找技术方案。 职位要求: 1、本科以上学历，3年以上编程经验，有过项目管理或者人员管理经验； 2、精通Python语言有扎实的编码能力；3、熟练使用至少一种数据库； 4、有独立分析和解决问题的能力，有良好的团队合作精神。
Python Developer,https://www.lagou.com/jobs/6278702.html,浦东新区,15k-25k,普华永道信息技术（上海）有限公司,3-5年,本科,"外企福利,技术前沿,技术培训","Knowledge Preferred: • Python 2.7 or 3.5 (or above);• Web frameworks such as Django, Flask and Tornado;• Asynchronous programming libraries such as gevent and asyncio;• ORM libraries such as SQLAlchemy;• Relational databases such as PostgreSQL, MySQL and Oracle;• NoSQL database such as MongoDB;• RESTful API or GraphQL;• Familiar with Microservices and container technologies;• GCP/AWS/Azure experience or knowledge is a plus.good oral english skill.Skills Preferred:• Software applications building including appropriate coding standards, unit tests, integration tests and deployment scripts; • Defining software architectures, collaborates with other team members and managers to explore existing systems, determines areas of complexity, potential risks to successful implementation, and the applications capabilities; • Translates designs and style guides provided by the UI/UX team into functional user interfaces, ensuring cross browser compatibility and performance; • Communicates continually with the client and project teams and present progress of the development effort."
Python Web工程师,https://www.lagou.com/jobs/6421727.html,松江区,6k-12k,上海担路网络科技有限公司,不限,本科,"年轻团队,年终分红,晋升空间大,待遇从优","工作内容：1. Web 应用开发2. PaaS云平台开发3. 系统维护、调试-------------------------------------------先决条件：1. 请确保你至少对 Python、JavaScript 这两门语言都有深入学习研究的欲望2. 对 Web 前端的知识及其实现充满好奇，能够对所有技术保持好奇更好3. 技术是为产品服务的，必须要掌握或愿意学习掌握将技术转化为产品的能力对于以上三点有不同看法的，不适合从事该职位。---------------------------------职位要求：1. 思路清晰、主动性强，有缜密的逻辑思维能力，快速的英文阅读能力及学习能力，良好的沟通能力2. 有基本的计算机基础理论知识，熟悉常用数据机构与算法3. 能熟练使用 Python 进行Web程序相关开发，掌握 Django/Flask 等相关框架4. 熟悉 MySQL/PostgreSQL 等关系型数据库，熟悉SQL语言5. 对TCP/IP, HTTP等常用协议有基本的了解，能完整叙述一次HTTP请求从客户端到服务器端所经过的各个环节6. 有基本的前端技能，了解基本的网页设计知识，如 HTML、CSS、JavaScript、jQuery7. 熟悉 ES6，有 Vue.js/React/Angular 至少其中一种的使用经验8. 能够熟练使用 Linux 作为日常开发环境9. 熟悉 Git 的常用操作，了解 GitHub Workflow10. 有基本的程序错误分析排查能力-------------------------------------------优先条件：1. 有1年以上 Django 开发经验者优先2. 有完整的个人业余项目(GitHub Repo)并在线部署运行3. 有为开源项目贡献过代码或者文档者优先-------------------------------------担路的技术及学习理念：- 不做原教旨主义，用合适的工具做正确的事。- 稳中求新，快速迭代。- 持续学习，不给自己设限，对新知识充满不断探索的欲望。--------------------------------------应用开发平台介绍：应用开发平台可以快速开发出一整套可供多个平台使用的应用，包括PC网页版本、手机 网页版本以及小程序版本。全平台适配，数据统一管理，开发流程短，并支持高度自定义，无限扩展其功能，满足各个场景和各个行业的客户的不同需求。--------------------------------------应用开发平台架构：- 数据集（云数据库）做到能够让客户自定义去创建表结构，同时还保证在数据量极速增长的情况下的查询以及写入的性能- 后端运行时基于 Python 3.7, Django 1.11搭 配 asyncio/asyncpg实现系统核 心服务的功能- 云函数方便用户实现自己的业务逻辑，同时做好隔离性，保证出现bug的时候不会波及整个平台的运行情况- 可视化编辑器彻底解放用户在开发的时候对于繁杂表单及界面的处理，同时标准化的接口不会对平台的升级造成阻碍- 前端运行时遵循Vue.js，实现前端组件的线上/线下开发及加载的支持。通过自主研发的可视化 前端开发工具实现组件的可视化布局开发--------------------------------------担路网公司介绍1 互联网时代“互联网+”是创新2.0下的互联网发展新形态、新业态，是知识社会创新2.0推动下的互联网形态演进及其催生的经济社会发展新形态。“互联网+”是互联网思维的进一步实践成果，它代表一种先进的生产力，推动经济形态不断的发生演变。从而带动社会经济实体的生命力，为改革、创新、发展提供广阔的网络平台。中小企业转型应把握以下两个点：（1）顺势而为。（2）互联网思维。2 担路D云系统基于这样的互联网时代背景，担路网从商家的客户入手，为商家提供互联网信息展示、客户挖掘转化、客户关系维护的一体化互联网工具。担路平台的产品功能板块包含以下五点：一、信息展示：包含传统的pc端展示，同步手机端和微信端二、营销模块：基于担路SaaS云架构，我们在商城中心和手机端管理中心开发了多种互联网互动营销活动工具，方便企业进行O2O营销，让企业与客户的关系更加紧密三、客户转化：传统的商城订单、便捷的表单式订单以及独创的推广式组合订单，让购买变得简单，实现流量到销量的转化四、客户管理：自带客户注册系统、与系统同步的会员管理系统和CRM，完全整合您的客户信息五、数据统计：全方位的数据统计分析，让您实时掌握客户的动态为企业提供互联网工具，让供需互动变得触手可及。我们致力于互联网信息展示、客户挖掘转化、客户关系维护，为您打造高性价比的一体化互联网解决方案！“一路担当”是我们的公司文化。自成立以来一直秉持团结、平等、共赢的原则，为每一个伙伴提供全面的发展机会，有专人负责培训，鼓励同事之间相互帮助，共同进步。担路网在上海已经有了一定的知名度，已有近万成功合作商家，尤其在中小型商家中担路网三个字已经有了一定的品牌效应，但是我们依然在路上，我们需要更多的伙伴，更多年轻的有激情有梦想的伙伴加入。公司现在的伙伴都是年轻人，平均年龄24左右，在成立的三年之中，每年的增长率保持在200%以上，公司正在一步步壮大。现公司正处于新一轮的发展之际，需要找到一批核心成员，能够支撑公司的发展需要，现向各大招聘网站发布求贤令，诚邀有志之士的加入，共创一番事业！"
